Mast,MATHE7
161,3242942
161,4370677
161,4370881
161,302294
161,490139
161,3909782
161,4308269
161,4989238
161,5342265
161,1953862
161,3040678
161,4038239
161,4475708
161,6262267
161,6409568
161,8892642
161,540600
161,4138281
161,4486078
161,5028779
161,5229564
161,5592326
161,8128872
161,8592420
161,1702482
161,3435635
161,3475985
161,3647496
161,3702124
161,4036644
161,4307407
161,4898138
161,5029863
161,6116020
161,1316527
161,1412027
161,1601281
161,1720491
161,13254
161,1960464
161,3181721
161,4974218
161,7617072
161,6263
161,1702492
161,2676267
161,960412
161,1602414
161,1702382
161,2881961
161,5215873
161,2148566
161,4005183
161,4114705
161,4650608
161,5763752
161,6101444
161,2067117
161,2359184
161,3703206
161,3839399
161,3999467
161,6506184
161,960044
161,1115957
161,2044279
161,2587911
161,3721299
161,3999588
161,4369182
161,5262201
161,8497328
161,2042504
161,2068311
161,2565754
161,4841531
161,1955968
161,2628521
161,2730505
161,5762130
161,6115231
161,6559638
161,8826353
161,851275
161,1282660
161,1703071
161,2148206
161,3469496
161,3753414
161,3999023
161,5262986
161,6326062
161,6434998
161,7512938
161,7863830
161,8394844
161,2970777
161,3877420
161,4475496
161,5262009
161,5558807
161,5763594
161,8539825
161,2039495
161,3998907
161,6582134
161,8768073
161,9551974
161,1041137
161,1229548
161,1601664
161,1603529
161,1762837
161,1872975
161,2046531
161,4907201
161,8395813
161,3908472
161,5232996
161,5342848
161,8979876
161,1282620
161,1584596
161,1954831
161,2089189
161,4475394
161,4862253
161,6088639
161,6690996
161,7031259
161,7617772
161,5343722
161,7616202
161,7617827
161,8893454
161,2485336
161,4137634
161,5850281
161,7188099
161,8271665
161,8893764
161,3191001
161,6511223
161,8917470
161,1860689
161,4821325
161,5445456
161,5871674
161,1020338
161,4536033
161,7822430
161,9219716
161,356986
161,2631725
161,2944712
161,3681518
161,4261092
161,4595558
161,7603236
161,8166550
161,3775833
161,6299971
161,2350754
161,2521197
161,2943382
161,3628870
161,5791254
161,8139933
161,8840889
161,9551403
161,147637
161,540875
161,2882262
161,2993954
161,3189894
161,4138317
161,5262670
161,5287390
161,5448768
161,3754094
161,4137419
161,5592135
161,5681264
161,8174878
161,1897918
161,7189755
161,8465898
161,8893038
161,8917186
161,1020089
161,1751051
161,3630923
161,7190159
162,24351
162,5264852
162,753837
162,6320479
162,2532050
162,4001638
162,7726949
162,8336429
162,1153714
162,1384860
162,1881602
162,6465511
162,1874522
162,150940
162,1828403
162,6276147
162,7364484
162,3518107
162,3628100
162,7746541
162,4918928
162,3951887
162,6629434
162,9145455
162,4132327
162,8169044
162,1828408
162,2315203
162,1595186
162,7572556
162,4839280
162,5696493
162,5920604
162,6905283
162,7727461
162,1878519
162,5453073
162,6221184
162,9681591
162,6004025
162,1604976
162,3328435
162,3490419
162,5498186
162,5590397
162,1599352
162,2591895
162,5131391
162,3502044
162,1560581
162,5452181
162,7727846
162,4352
162,3007114
162,8570932
162,4403694
162,5205670
162,757026
162,3160505
162,1943607
162,5612901
162,9528215
162,1153631
162,8327093
162,3145229
162,3897964
162,8571252
162,172861
162,2903256
162,7012346
162,172771
162,1413438
162,1100
162,7995001
162,1704346
162,6224012
175,6822912
175,4810553
175,5125852
175,5618380
175,6928162
175,8160205
175,3182004
175,3998203
175,5125593
175,6940254
175,1814558
175,4681937
175,5125847
175,5125936
175,2504142
175,5183344
175,6157306
175,1031809
175,5004994
175,5007212
175,5618867
175,7169145
175,3146781
175,5126111
175,1864741
175,2358814
175,5158140
175,6489589
175,7420339
175,1031456
175,1864766
175,5011555
175,8441072
175,5732137
175,7216410
175,1864768
175,1864771
175,4504914
175,5460954
175,5481678
175,7353393
175,834751
175,5128319
175,7168469
175,9321023
175,7353555
175,5127642
175,6995428
175,7230553
175,981909
175,4955261
175,5008542
175,7897001
175,5007977
175,5619725
175,1864753
175,6036478
175,4637996
175,4860488
175,5007506
175,5127612
175,6646228
175,5162169
175,5460749
175,8014010
175,8161524
175,1031431
175,1864770
175,5159124
175,5460952
175,5481876
175,5732066
175,9728937
175,5481937
175,1864774
175,7421555
175,8104168
175,8441982
175,5007179
175,5161697
175,5619559
175,7739165
175,2619057
175,1913339
175,5008458
175,5365918
175,5460904
175,7059966
175,7896505
175,5126857
175,5460226
175,5159274
175,5907477
175,1265754
175,4150724
175,6946114
175,8564550
175,3896882
175,5006421
175,4293953
175,5008467
175,6097569
175,5126090
175,5773627
175,7231731
175,5618273
175,5774077
175,3700449
175,5162525
175,5164898
175,5364691
175,5773637
175,7624235
175,7896287
175,5163663
175,5182832
175,7230603
178,1832680
178,2685637
178,6419335
178,8689271
178,8689957
178,1108750
178,4141715
178,4433356
178,9745461
178,1287303
178,7226433
178,2918049
178,6216444
178,2615685
178,5801290
178,3276964
178,3975329
178,2490327
178,3975340
178,4406389
178,5215751
178,5832375
178,8515779
178,5827787
178,1672684
178,3772547
178,5655472
178,2378747
178,3607831
178,1287289
178,1832559
178,6957235
178,1947751
178,5558148
178,2635825
178,4420147
178,1832674
178,1981440
178,2977472
178,4143623
178,4503034
178,5802519
178,7482763
178,1910399
178,5597393
178,1399071
178,3232209
178,3048783
178,3193818
178,7693006
178,8284231
178,8689278
178,2992046
178,4502496
178,4839014
178,6693656
178,1673518
178,2498029
178,2660749
178,1596963
178,4082161
178,5430331
178,5315230
178,6572018
178,2373683
178,5443494
178,3184243
178,4129791
178,1672745
178,5832637
178,8223947
178,8284322
178,1487924
178,1573334
178,4953244
178,9098044
178,3274772
178,3611027
178,10807
178,2497562
178,4928675
178,5828259
178,5832431
180,5862339
180,8278516
180,7110616
180,3606989
180,5402137
180,8279511
180,5400289
180,9795434
180,5400646
180,8279476
180,3751797
180,4103624
180,7222557
180,7222647
180,8278476
180,8278775
180,5401312
180,6620723
180,5401244
180,8279383
180,8278605
180,5401020
180,4570198
180,4052058
180,5401952
180,5862977
180,7222120
186,6369169
186,5471491
186,4294306
186,7413546
186,6248575
186,5078971
186,3475800
186,8896675
186,8974605
186,5069725
