Mast,MATHE7
120,7807935
120,2788364
120,2802394
120,5473173
120,7121183
120,7806622
120,6581100
120,6755790
120,7806330
120,7806110
121,1477409
121,7106118
121,3843477
121,4206497
121,4095966
121,3573656
121,2960356
121,3517795
121,5300154
121,3574813
121,2961533
121,4037593
121,4035040
121,6314300
122,1485819
122,8494128
122,3132918
122,3269507
122,8633487
122,8708317
122,1942886
122,3138436
122,3313546
122,4041085
122,8217853
122,1612523
122,3134162
122,3315422
122,6181211
122,6014131
122,4442070
123,4191989
123,4718628
123,8204068
123,0587876
123,6069236
123,7953346
123,3652406
123,5827996
123,9799685
123,1808385
123,4720484
123,7775023
123,4471763
123,6386970
123,2845760
124,4526068
112,2223409
112,4384767
112,6572597
112,3535897
112,2732627
112,4171816
112,1543046
112,4173415
112,3536915
112,7948304
112,1543484
112,1541914
112,3536954
112,4705894
112,4175892
112,0809126
112,2737672
112,2733742
112,1226382
112,5392951
112,1545561
112,3536761
114,0469590
114,2778788
114,3825287
114,8533685
114,2781234
114,2745784
114,4121743
114,4177691
114,8533631
114,3973530
118,1773488
118,3561568
118,3851488
118,3944098
118,8919408
118,6416068
118,2864427
118,4060797
118,3453697
118,0558168
118,3086085
118,2868334
118,8919834
118,2863553
118,2945413
118,7231903
118,2870411
118,2867561
118,1820421
119,3689849
119,4706927
119,3092804
119,4455364
119,0441144
119,4038564
119,4455513
119,8934443
119,3090872
119,5787192
119,9751722
119,1032162
119,2928822
119,8891100
120,7621038
120,3020767
120,7806037
120,4398366
120,4190846
120,4398405
120,4716665
120,4716485
120,7806235
120,0263449
120,3079164
120,7806234
120,3845013
120,9053611
120,0539101
121,4207148
121,1823866
121,2961315
121,7707945
121,5405545
121,8288934
121,2961714
121,8521284
121,4094743
121,4095291
121,3318230
122,1056929
122,3133669
122,7089318
122,9560267
122,3137297
122,8632707
122,1315507
122,6640946
122,1613276
122,3584855
122,6181395
122,5070785
122,4621334
122,6596802
122,8964182
122,3483451
122,3132001
122,1612931
122,3867380
122,4219550
123,5751739
123,8400598
123,4194486
123,1073256
123,3555186
123,1011466
123,3558235
123,6232105
112,7948099
112,2733649
112,2230079
112,4174028
112,1543748
112,0144878
112,4965057
112,5306047
112,7051336
112,1545435
112,8272434
112,4965014
112,6210184
112,3202044
112,2742933
112,3809573
112,9705503
112,4629442
112,2221771
112,4300151
114,7979569
114,4178548
114,6922678
114,2771507
114,2768157
114,6748807
114,4233925
114,1783431
114,5718861
114,0191102
118,3083309
118,2878619
118,0390795
118,8017949
118,6415829
118,3789638
118,8676418
118,2866737
118,3168685
118,3560733
118,6624733
118,6415613
118,4197061
118,2870130
118,3944330
119,8190107
119,8771107
119,1032797
119,4685666
119,8751966
119,3833855
119,3984444
119,3831882
120,1596208
120,0236576
120,8851056
120,4037795
120,2922335
120,2794584
120,9173473
120,9173453
120,3071673
120,9173390
121,0055985
121,4209739
121,2589498
121,8427468
121,7284587
121,3208836
121,3424225
121,2691594
121,8426953
121,4209202
122,3580079
122,3312559
122,4739188
122,8235148
122,3269127
122,3312977
122,6501617
122,3867666
122,3255256
122,4442816
122,3139436
122,3483315
122,8494414
122,3272444
122,3131784
122,1057223
122,4442683
122,3137673
122,1057312
122,4622192
122,4621312
122,3314502
122,3584990
122,3581910
122,6079240
122,8319310
123,3486499
123,1166799
123,1166059
123,2848209
123,0588185
123,1808108
123,8044497
123,1808386
123,9096435
123,5778885
123,5998812
123,9799541
123,2852111
123,6387020
124,7728129
124,4689138
124,6279098
124,3458907
124,1626864
124,3115584
112,7281739
112,1545249
112,1226909
112,5102149
112,4705968
112,4175686
112,7948576
112,4704526
112,3202696
112,7885345
112,3204385
112,1104974
112,4141382
112,0209223
112,3539451
112,6067220
114,9226798
114,2755007
114,1473696
114,2777575
114,5137045
114,1783434
114,3970154
114,0999424
114,5739372
114,2783020
114,2762730
118,4198679
118,2871459
118,1820629
118,8017479
118,0069906
118,3348508
118,1820538
118,1820318
118,6416078
118,7905297
118,2874786
118,4463746
118,4199505
118,3787805
118,1684285
118,2861365
118,3080734
118,1773824
118,0391144
118,6754023
118,6415763
118,2872052
118,3001002
118,0634917
118,8767750
118,4039600
119,0440474
119,5921766
119,2833214
119,2821823
119,3099810
120,4190059
120,9538668
120,1806268
120,2785577
120,4574327
120,1275706
120,0655966
120,3034545
120,1806124
120,3551343
120,0538732
120,3020913
120,5403433
120,1596362
120,7620382
120,4573081
120,3072851
120,2588900
120,1186170
120,9173390
121,2962988
121,8520788
121,6019438
121,2964966
121,0056494
121,2589472
122,7848219
122,4740659
122,1315309
122,3134758
122,3616168
122,4216007
122,8672556
122,4220916
122,6015486
122,5408816
122,6791254
122,3135654
122,3130124
122,4507694
122,7088783
122,3271253
122,7849083
122,3582240
123,4195369
123,7774329
123,1624829
123,7114129
123,5212819
123,3487558
123,9799907
123,4194857
123,6387266
123,5657216
123,2848956
123,3102846
123,5897005
123,4780844
123,8542964
123,6110114
123,4719512
112,4174219
112,8340568
112,1226828
112,6210528
112,0553580
112,1227087
112,4015467
112,4173206
112,4877045
112,0447256
112,7948645
112,1543725
112,4037785
112,8983754
112,3536064
112,4384493
112,1542083
112,5355052
112,5935922
112,4704012
112,7949151
112,1545021
112,7643711
112,3535051
114,7178499
114,2746707
114,5313527
114,5267623
114,0740936
114,3470762
114,0599507
114,2749520
114,8533870
118,5043028
118,1820608
118,2860087
118,7342596
118,0558251
118,0635141
118,0514936
118,3057583
118,4723723
118,6264392
118,6125972
118,2872471
118,2862361
118,1820610
119,3983157
119,5921725
119,1685192
119,1791121
119,6978771
119,9206090
120,2785739
120,6581879
120,1370579
120,3934179
120,6581428
120,9052587
120,2803727
120,4190746
120,8576335
120,1806365
120,2804045
120,2799342
120,6156791
120,3074000
121,8520088
121,3571637
121,3842217
121,6452636
121,3149535
121,2969154
121,2961554
121,4633024
121,3068561
121,5395160
122,7392889
122,1222259
122,3134158
122,3584607
122,3137587
122,8311927
122,3139075
122,3135185
122,3134995
122,7088764
122,4917493
122,6015083
122,1613203
122,8310573
122,3314512
122,3580711
122,1324651
122,5407731
122,3866180
123,3485867
123,8595376
123,2850366
123,1625596
123,7588445
123,4471804
123,4751994
123,2841554
123,4471123
123,9255093
123,2933613
123,9096612
123,3559092
123,7451692
123,0587617
123,8204311
123,6793530
123,5657840
123,3555220
123,1752070
123,7235620
124,6165579
124,3915218
112,4383949
112,6573909
112,4171449
112,6868109
112,7642369
112,7642258
112,5393677
112,2240497
112,4629077
112,1226767
112,6210687
112,2241836
112,8097325
112,8874135
112,2222265
112,0554337
112,2805483
112,0809627
112,3202842
112,7280361
112,4172661
112,7642880
112,3538490
112,3535180
112,4022230
114,8166009
114,7040979
114,4518038
114,2752655
114,5738504
114,6307472
114,5641111
114,2304551
114,2282380
114,0191102
118,1187119
118,0288986
118,2860388
118,0994284
118,8919838
118,7551807
118,2864436
118,8017236
118,3502356
118,5590775
118,1457115
118,7343655
118,3518005
118,3088603
118,5042173
118,2877132
118,9195961
119,1480259
119,1157309
119,2824225
119,5063764
119,1791033
119,3688433
119,1791120
120,2589709
120,6156909
120,7806039
120,5715718
120,3909738
120,6237537
120,3934326
120,3077805
120,3550295
120,2790504
120,3846274
120,0236334
120,2792142
120,9172372
120,1370571
120,3034091
120,3730111
120,7806671
120,0539102
121,4094696
121,2964876
121,2962745
121,1145355
121,0057491
121,2961514
121,0056323
121,1145302
122,7991979
122,3868299
122,7849219
122,4739369
122,6500279
122,9586507
122,8134647
122,8708337
122,3139235
122,4622965
122,1612595
122,3312405
122,8708015
122,1821904
122,8092743
122,1756523
122,4621203
122,3312143
122,8709533
122,8495042
122,3581822
122,1057111
122,6547731
122,4217391
122,3516700
122,4216070
123,1073679
123,3556719
123,1625079
123,3558568
123,4356798
123,2934698
123,8196387
112,5393989
112,4171807
112,3811147
112,2744806
112,4628796
112,2223086
112,5306476
112,5047015
112,8340585
112,5227695
112,2222205
112,0553949
112,5393964
112,3537904
112,4172083
112,3539512
112,5393991
112,1545551
112,2230221
112,5935330
112,2733730
114,6747159
114,5641028
114,8122846
114,2767205
114,0740951
114,6401695
114,3973584
114,4518323
114,3544922
118,4196099
118,5943159
118,7932649
118,2869278
118,7658698
118,1598636
118,9292546
118,7457266
118,4454206
118,3787205
118,2864205
118,9194724
118,4582434
118,0634742
118,7904264
118,2869633
118,1022642
118,9194701
118,0289614
118,4928091
119,1404268
119,1699527
119,2925027
119,3985646
119,3371956
119,5328726
119,3910613
119,6515032
120,9762529
120,3730228
120,3489427
120,3554187
120,3551967
120,7621136
120,4716896
120,7193595
120,2788655
120,8688455
120,1718634
120,0237839
120,3071673
